"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Thermodynamik","Michael","Abbott","Fachbuch Naturwissenschaften","70843643",,"Buch","Außenstelle Brigittenau I"
"Verbotene Welt","Isabel","Abedi","Belletristik","9783785563007",,"Buch","Außenstelle Brigittenau I"
"Das Geheimnis zweier Ozeane","Grigori","Adamow","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Geh, sattle das Meer","Joan","Aiken","Belletristik","4029878161824",,"Buch","Außenstelle Brigittenau I"
"Bluff dich durch: Computer","Robert","Ainsley","Anderes","3770440048",,"Buch","Außenstelle Brigittenau I"
"Nordland","Gabriele","Albers","Belletristik","9783862825493",,"Buch","Außenstelle Brigittenau I"
"Die Sechzigerjahre II","Hans","Alpers","Fachbuch Geschichte","3814700376",,"Buch","Außenstelle Brigittenau I"
"Pompeji","Alberto","Angela","Belletristik","9783442159567",,"Buch","Außenstelle Brigittenau I"
"Im Tunnel","Sergej","Antonow","Belletristik","9783453314078",,"Buch","Außenstelle Brigittenau I"
"Viva Mad!","Sergio","Aragones","Comic","3807100520",,"Buch","Außenstelle Brigittenau I"
"Helvetica Standard Bold","Keiichi","Arawi","Manga","9781945054327",,"Buch","Außenstelle Brigittenau I"
"Helvetica Standard Italic","Keiichi","Arawi","Manga","9781945054334",,"Buch","Außenstelle Brigittenau I"
"Das Foundation Projekt","Isaac","Asimov","Belletristik","9783453875470",,"Buch","Außenstelle Brigittenau I"
"Meine Freunde die Roboter","Isaac","Asimov","Belletristik","9783453215313",,"Buch","Außenstelle Brigittenau I"
"Der Baader-Meinhof Komplex","Stefan","Aust","Fachbuch Geschichte","9783442469017",,"Buch","Außenstelle Brigittenau I"
"Räuchern mit heimischen Kräutern","Marlis","Bader","Pseudofachbuch","9783442218110",,"Buch","Außenstelle Brigittenau I"
"Access 97","Said","Baloui","Fachbuch IT","9783827252296",,"Buch","Außenstelle Brigittenau I"
"Linux kurz & gut","Daniel","Barrett","Fachbuch IT","9783868994124",,"Buch","Außenstelle Brigittenau I"
"Bordland Pascal 7.0","Irene","Bauder","Fachbuch IT","9783877914502",,"Buch","Außenstelle Brigittenau I"
"ECo-C Teil 1","Thomas","Bauer","Fachbuch Diverse","9783200011861",,"Buch","Außenstelle Brigittenau I"
"Opas Engel","Jutta","Bauer","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Zeitschiffe","Stephen","Baxter","Belletristik","9783453210912",,"Buch","Außenstelle Brigittenau I"
"Dialogmarketing Trends 2010/2011","Claudia","Bayer","Fachbuch Wirtschaft","9783981161076",,"Buch","Außenstelle Brigittenau I"
"Projektmanagement für IT Projekte","Arndt","Beiderwiesen","Fachbuch IT","9783823711773",,"Buch","Außenstelle Brigittenau I"
"Die Rechte der anderen","Seyla","Benhabib","Fachbuch Recht","9783893319725",,"Buch","Außenstelle Brigittenau I"
"Das Geheimnis des Steins","Anna","Benthin","Belletristik","9783785523216",,"Buch","Außenstelle Brigittenau I"
"El Comandante","C.C.","Bergius","Belletristik","3547713056",,"Buch","Außenstelle Brigittenau I"
"Der Gefangene der Schilluk","Richard","Blasius","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde auf dem Leuchtturm","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde auf der Felseninsel","Enid","Blyton","Belletristik","3570078116",,"Buch","Außenstelle Brigittenau I"
"5 Freunde auf neuen Abenteuern","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde auf Schmugglerjagd","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde beim Wanderzirkus","Enid","Blyton","Belletristik","3570078108",,"Buch","Außenstelle Brigittenau I"
"5 Freunde erforschen die Schatzinsel","Enid","Blyton","Belletristik","3570078043",,"Buch","Außenstelle Brigittenau I"
"5 Freunde geraten in Schwierigkeiten","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde helfen ihrem Kameraden","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde im alten Turm","Enid","Blyton","Belletristik","3570078418",,"Buch","Außenstelle Brigittenau I"
"5 Freunde im alten Turm","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"5 Freunde im Nebel","Enid","Blyton","Belletristik","3570033279",,"Buch","Außenstelle Brigittenau I"
"5 Freunde jagen die Entführer","Enid","Blyton","Belletristik","3570033236",,"Buch","Außenstelle Brigittenau I"
"5 Freunde machen eine Entdeckung","Enid","Blyton","Belletristik","3570078604",,"Buch","Außenstelle Brigittenau I"
"5 Freunde und der Zauberer Wu","Enid","Blyton","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Die Burg, die Insel und das Tal der Abenteuer","Enid","Blyton","Romansammlung","9783828961340",,"Buch","Außenstelle Brigittenau I"
"Greenpeace: Changing the world","Conny","Boettger","Fachbuch Diverse","9783924044954",,"Buch","Außenstelle Brigittenau I"
"Klausurtraning Mathematik","Helmut","Böhm","Fachbuch Naturwissenschaften","90070419",,"Buch","Außenstelle Brigittenau I"
"Mathematik für Wirtschaft","Walter","Böhm","Fachbuch Naturwissenschaften","90060915",,"Buch","Außenstelle Brigittenau I"
"Grün ist die Hoffnung","Tom","Boyle","Belletristik","9783423207744",,"Buch","Außenstelle Brigittenau I"
"Aus Licht gewoben","Alexandra","Bracken","Belletristik","9783442472604",,"Buch","Außenstelle Brigittenau I"
"Fahrenheit 451","Ray","Bradbury","Belletristik","9783257208627",,"Buch","Außenstelle Brigittenau I"
"Seefunk auf allen Meeren","Rainer","Brannolte","Fachbuch Elektronik","3922221513",,"Buch","Außenstelle Brigittenau I"
"Sagenreise durch Niederösterreich","Franz","Braumann","Belletristik","3853264281",,"Buch","Außenstelle Brigittenau I"
"Die Entdeckung des Chaos","John","Briggs","Fachbuch Naturwissenschaften","9783860477519",,"Buch","Außenstelle Brigittenau I"
"Große Sprünge","Lauren","Brooke","Belletristik","9783473349203",,"Buch","Außenstelle Brigittenau I"
"Kissing in the Rain","Kevin","Brooks","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Diabolus","Dan","Brown","Belletristik","9783785721940",,"Buch","Außenstelle Brigittenau I"
"Meteor","Dan","Brown","Belletristik","9783404150557",,"Buch","Außenstelle Brigittenau I"
"Giovanna und der Sumpf","Karl","Bruckner","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Und fanden die Liebe nicht","Pearl","Buck","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Dämliche Dämonen","Royce","Buckingham","Belletristik","9783764530068",,"Buch","Außenstelle Brigittenau I"
"Der Wille des Königs","Royce","Buckingham","Belletristik","9783442269396",,"Buch","Außenstelle Brigittenau I"
